Title,URL
Top News,http://feeds.reuters.com/reuters/UKTopNews
UK,http://feeds.reuters.com/reuters/UKdomesticNews
World,http://feeds.reuters.com/reuters/UKWorldNews
Technology,http://feeds.reuters.com/reuters/technologyNews
Science,http://feeds.reuters.com/reuters/UKScienceNews
Health,http://feeds.reuters.com/reuters/UKHealthNews
Sports,http://feeds.reuters.com/reuters/UKSportsNews
Cricket,http://feeds.reuters.com/reuters/UKCricketNews
Rugby Union,http://feeds.reuters.com/reuters/UKRugbyNews
Golf,http://feeds.reuters.com/reuters/UKGolfNews
Tennis,http://feeds.reuters.com/reuters/UKTennisNews
Motor Sports,http://feeds.reuters.com/reuters/UKMotorSportsNews
Features,http://feeds.reuters.com/reuters/UKFeaturesNews
Oddly Enough,http://feeds.reuters.com/reuters/UKOddlyEnoughNews
Entertainment,http://feeds.reuters.com/reuters/UKEntertainment
Personal Finance,http://feeds.reuters.com/reuters/UKPersonalFinanceNews
Funds,http://feeds.reuters.com/reuters/UKFundsNews
Consumer Products & Retail,http://feeds.reuters.com/reuters/UKConsumerProducts
Technology Media & Teleco,http://feeds.reuters.com/reuters/UKMedia
Financial Services,http://feeds.reuters.com/reuters/UKBankingFinancial
Health & Drugs,http://feeds.reuters.com/reuters/UKHealth
